idcar_200m,idcar_1km,idcar_nat,i_est_200,i_est_1km,lcog_geo,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS3035RES200mN2529200E3919200,CRS3035RES1000mN2529000E3919000,CRS3035RES200mN2529200E3919200,0,0,69387,283.5,197,67,150,3,21,7,5903577.3,9496,196,1,124,18,17,37,1,86,9.5,3,9,10,28,112,60,17,24,11,0
CRS3035RES200mN2529200E3919400,CRS3035RES1000mN2529000E3919000,CRS3035RES200mN2529200E3919400,0,0,69387,647.5,405,86,275,10,93,17,15093776,19813,398,7,291,74,26,14,0,27,39.5,10.5,27,28.5,84,292,97,21,34,14,0
CRS3035RES200mN2529200E3919600,CRS3035RES1000mN2529000E3919000,CRS3035RES200mN2529200E3919600,0,0,69387,1020,608,120,368,12,191,36,27806550.9,35518,606,2,467,21,5,113,2,70,51,20,39,43,91,438,166,71,79,22,0
CRS3035RES200mN2529200E3919800,CRS3035RES1000mN2529000E3919000,CRS3035RES200mN2529200E3919800,0,0,69387,789.5,442,59,246,15,172,28,24522047.1,28818,440,2,286,29,30,97,0,23,36.5,17.5,31,47.5,60,283,157,63,58,36,0
CRS3035RES200mN2529200E3920000,CRS3035RES1000mN2529000E3920000,CRS3035RES1000mN2529000E3920000,0,0,"69387,69383",962,549,41,311,12,250,22,31015714,38424,545,4,154,27,80,287,1,14,52.5,15.5,28,61,68,344,172,67,103,51,0
CRS3035RES200mN2529200E3920200,CRS3035RES1000mN2529000E3920000,CRS3035RES1000mN2529000E3920000,0,0,"69387,69383",1000,546,57,280,15,280,38,31744349.3,40753,543,3,138,84,287,37,0,12,27.5,8,46.5,70,91,270,191,97,125,74,0
CRS3035RES200mN2529200E3920400,CRS3035RES1000mN2529000E3920000,CRS3035RES1000mN2529000E3920000,0,0,"69383,69387",1057,651,90,379,6,224,39,32004709.7,39771,650,1,135,31,121,364,0,0,37,17.5,39.5,42.5,75.5,458,178,81,77,51,0
CRS3035RES200mN2529200E3920600,CRS3035RES1000mN2529000E3920000,CRS3035RES1000mN2529000E3920000,0,0,69383,781.5,386,16,163,11,161,27,26321736,26414,386,0,0,0,0,386,0,33,56,20.5,50,43.5,37.5,314,150,55,43,12,0
CRS3035RES200mN2529200E3920800,CRS3035RES1000mN2529000E3920000,CRS3035RES1000mN2529000E3920000,1,0,69383,1,0.7,0.2,0.5,0,0,0,26403.4,34.4,0.7,0,0.6,0,0,0.1,0,0,0,0,0.1,0,0.2,0.3,0.2,0.1,0,0.1,0
CRS3035RES200mN2529200E3921200,CRS3035RES1000mN2529000E3921000,CRS3035RES200mN2529200E3921200,0,0,69383,1039,574,122,317,17,173,47,25991765.3,34051,572,2,153,20,0,401,0,203,39,16,51,76.5,80.5,317,220,105,100,34,0
CRS3035RES200mN2529200E3921400,CRS3035RES1000mN2529000E3921000,CRS3035RES200mN2529200E3921400,0,0,69383,806.5,414,76,195,16,164,43,23385696.4,26804,413,1,140,0,83,191,0,77,28.5,14,44.5,61,72.5,201,161,110,93,21,0
CRS3035RES200mN2529200E3921600,CRS3035RES1000mN2529000E3921000,CRS3035RES200mN2529200E3921600,0,0,69383,948.5,531,77,307,21,162,31,25558435,32279,526,5,76,13,201,241,0,1,31,18.5,51.5,67.5,69,258,186,76,106,85,0
CRS3035RES200mN2529200E3921800,CRS3035RES1000mN2529000E3921000,CRS3035RES200mN2529200E3921800,0,0,69383,598.5,298,34,138,10,153,17,17687275.6,21513,269,29,88,38,49,123,0,10,23,8.5,24,51,57,161,129,63,64,18,0
CRS3035RES200mN2529200E3922000,CRS3035RES1000mN2529000E3922000,CRS3035RES200mN2529200E3922000,0,0,69383,246,122,16,60,4,82,6,8431100.4,10076,87,35,55,16,23,28,0,0,8,8,15.5,14.5,17,51,54,29,33,16,0
CRS3035RES200mN2529200E3922200,CRS3035RES1000mN2529000E3922000,CRS3035RES200mN2529200E3922200,0,0,69383,295,140,10,58,9,82,14,9183653.3,10801,117,23,33,6,32,68,1,17,19.5,10,17,19,28.5,77,44,35,32,13,0
CRS3035RES200mN2529200E3922400,CRS3035RES1000mN2529000E3922000,CRS3035RES200mN2529200E3922400,0,0,69383,225,111,16,57,8,37,12,5864668.1,7995,93,18,78,0,1,32,0,28,9,3,10,24,19,54,52,27,19,8,0
CRS3035RES200mN2529200E3922600,CRS3035RES1000mN2529000E3922000,CRS3035RES200mN2529200E3922600,0,0,69383,488,223,25,90,15,79,25,14655645.3,16053,207,16,51,0,1,171,0,24,24.5,19.5,34.5,37,39.5,130,108,56,29,10,0
CRS3035RES200mN2529200E3922800,CRS3035RES1000mN2529000E3922000,CRS3035RES200mN2529200E3922800,0,0,"69383,69266",618.5,310,44,150,13,134,34,17426786.5,23657,294,16,121,13,52,123,1,103,32.5,20,33.5,46,51.5,122,114,71,97,31,0
CRS3035RES200mN2529200E3923000,CRS3035RES1000mN2529000E3923000,CRS3035RES1000mN2529000E3923000,0,0,"69383,69266",642.5,311,39,155,18,101,38,17756404.4,21408,286,25,122,38,1,150,0,43,31,23,44,54.5,61,159,138,58,55,19,0
