idcar_200m,idcar_1km,idcar_nat,i_est_200,i_est_1km,lcog_geo,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS3035RES200mN2525800E3917600,CRS3035RES1000mN2525000E3917000,CRS3035RES1000mN2525000E3917000,1,0,"69387,69149",4,2.1,0.6,1.2,0.2,0.8,0.2,74244.7,147.9,1.9,0.2,1.8,0.1,0,0.2,0,0.3,0.2,0.1,0.2,0.4,0.3,0.8,0.8,0.4,0.7,0.1,0
CRS3035RES200mN2526200E3918200,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,1,0,69387,5,3.3,0.4,2.3,0.1,0.1,0.4,99554.9,162.7,3.2,0.1,3.1,0.1,0,0.1,0,0,0.1,0,0.3,0.1,0.5,1.5,1,1,0.5,0,0
CRS3035RES200mN2526400E3918000,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,0,0,69387,117,93,46,80,2,6,2,2160580.5,2877,93,0,0,12,0,81,0,31,2,2,4,4,54,45,4,1,0,1,0
CRS3035RES200mN2526400E3918200,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,1,0,69387,3,2,0.2,1.4,0,0,0.2,59732.9,97.6,1.9,0.1,1.9,0,0,0.1,0,0,0.1,0,0.2,0.1,0.2,0.9,0.6,0.6,0.3,0,0
CRS3035RES200mN2526400E3919200,CRS3035RES1000mN2526000E3919000,CRS3035RES1000mN2526000E3919000,1,0,69387,3,1.4,0.1,0.5,0.1,0.9,0.1,76374.7,112,1.4,0,0,0,1.1,0.3,0,0.3,0.1,0.1,0.2,0.1,0.2,0.6,0.5,0.5,0.6,0.1,0
CRS3035RES200mN2526600E3918000,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,1,0,69387,2,1.3,0.2,0.9,0,0,0.2,39821.9,65.1,1.3,0,1.3,0,0,0,0,0,0,0,0.1,0.1,0.2,0.6,0.4,0.4,0.2,0,0
CRS3035RES200mN2526600E3918800,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,1,0,69387,56.5,37.4,4.2,26.3,0.8,0.8,4.2,1124969.8,1838.6,35.7,1.7,35.7,0.8,0,0.9,0,0,1.7,0,3.8,1.7,5.1,17,11,11.1,5.1,0,0
CRS3035RES200mN2526600E3919400,CRS3035RES1000mN2526000E3919000,CRS3035RES1000mN2526000E3919000,1,0,69387,4,1.9,0.2,0.7,0.1,1.1,0.1,101832.9,149.3,1.9,0,0,0.1,1.4,0.4,0,0.4,0.1,0.1,0.2,0.2,0.3,0.8,0.7,0.7,0.8,0.1,0
CRS3035RES200mN2526800E3917600,CRS3035RES1000mN2526000E3917000,CRS3035RES1000mN2526000E3917000,1,0,69387,17,6.9,1.2,2.9,0.6,2.3,0,446046.9,559,5.2,1.7,1.7,0.6,0,4.6,0,0,1.1,0.6,2.6,1.1,0,3.5,3.5,2.9,0,1.7,0
CRS3035RES200mN2526800E3918200,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,0,0,69387,324,140,31,57,12,24,27,6654308.3,9863,140,0,0,0,140,0,0,95,12,6.5,38,45,18.5,63,69,30,33,9,0
CRS3035RES200mN2526800E3918400,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,0,0,69387,294.5,168,30,100,7,34,12,7415792.2,9581,168,0,33,37,0,98,0,0,11,2,19.5,21,23,100,49,24,23,22,0
CRS3035RES200mN2526800E3918600,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,0,0,69387,491,197,79,73,33,5,38,8260545.9,12044,197,0,187,8,0,2,0,186,9,16,42.5,60.5,26,79,84,78,59,37,0
CRS3035RES200mN2526800E3918800,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,0,0,69387,555.5,248,100,101,26,0,55,8805314.9,14957,248,0,248,0,0,0,0,248,15,16,43.5,58.5,25.5,78,94,80,92,53,0
CRS3035RES200mN2526800E3919000,CRS3035RES1000mN2526000E3919000,CRS3035RES1000mN2526000E3919000,1,0,69387,200.5,94.7,8.6,33.5,3.8,57.4,3.8,5104373.8,7483.1,94.7,0,0,2.8,71.8,20.1,0,19.1,3.8,4.8,12.4,8.1,14.4,39.2,33.5,36.4,43.1,4.8,0
CRS3035RES200mN2526800E3919200,CRS3035RES1000mN2526000E3919000,CRS3035RES1000mN2526000E3919000,1,0,69387,2,0.9,0.1,0.3,0,0.6,0,50916.4,74.6,0.9,0,0,0,0.7,0.2,0,0.2,0,0.1,0.1,0.1,0.1,0.4,0.3,0.4,0.4,0.1,0
CRS3035RES200mN2527000E3918000,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,1,0,69387,6,3.7,0.3,2.1,0,0.6,0.3,144479.8,190.9,3.6,0.1,2,0,0.3,1.4,0,1.3,0.5,0,0.3,0.1,0,3.1,0.8,0.4,0.6,0.2,0
CRS3035RES200mN2527000E3918200,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,727,408,71,224,14,155,27,18108130.9,24363,408,0,0,0,373,35,0,104,36.5,11,38.5,41,48,243,156,67,74,12,0
CRS3035RES200mN2527000E3918400,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,269.5,140,24,72,10,60,12,6622617.2,7935,139,1,26,0,0,114,0,17,15,8,15,18.5,30,101,57,14,8,3,0
CRS3035RES200mN2527000E3918600,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,682,369,52,191,7,143,28,17529626.8,23940,369,0,103,22,86,158,0,115,36.5,18.5,36,28,47.5,180,131,77.5,76,51,0
CRS3035RES200mN2527000E3918800,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,777.5,362,94,160,27,74,48,14742102.6,23734,362,0,1,1,261,85,14,236,37,21,65,62.5,50,199,144,77,85,34,3
CRS3035RES200mN2527000E3919000,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,0,0,69387,246,140,27,76,2,61,8,6285253.2,7706,140,0,0,48,0,92,0,0,18,4,7.5,6.5,32,94,30,23,25,6,0
CRS3035RES200mN2527200E3917000,CRS3035RES1000mN2527000E3917000,CRS3035RES1000mN2527000E3917000,1,0,"69142,69382",9.5,4.1,0.3,1.5,0.1,2.2,0,345214.5,473.6,3.8,0.3,0.7,0,0,3.4,0,0,0.7,0.2,0.3,0.5,1.1,2.4,2.2,1.1,0.7,0.3,0
CRS3035RES200mN2527200E3918000,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,554,208,40,59,27,25,34,12431265.6,16019,208,0,0,0,0,208,0,166,33,16.5,38,66,50,110,120.5,42,45,26,7
CRS3035RES200mN2527200E3918200,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,624.5,273,68,101,26,65,51,12308210.4,17944,273,0,0,175,74,24,0,124,38,22,48,46.5,50,153,109,76,57,24,1
CRS3035RES200mN2527200E3918400,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,280,166,43,102,7,19,11,6360302.3,7560,166,0,10,8,0,148,0,44,18,5,23,7,38,117,42,12,14,4,0
CRS3035RES200mN2527200E3918600,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,298.5,127,9,50,8,75,13,7961233.4,9857,127,0,0,122,0,5,0,19,18,5,23.5,31,25,55,63,31,31,16,0
CRS3035RES200mN2527200E3918800,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,765.5,394,82,199,19,69,45,16667150.1,23464,382,12,20,91,178,105,0,246,34.5,23,45.5,50.5,40,178,149,99,102,44,0
CRS3035RES200mN2527200E3919000,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,0,0,69387,643.5,338,66,164,13,117,31,15249306.4,21528,330,8,59,0,187,92,0,25,28,15.5,28.5,38,75.5,240,125,33,52,8,0
CRS3035RES200mN2527200E3919200,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,0,0,69387,103.5,66,7,44,3,26,3,2629173.5,3725,66,0,60,0,6,0,0,0,6,1,4,3,5.5,45,19,10,4,6,0
CRS3035RES200mN2527400E3917000,CRS3035RES1000mN2527000E3917000,CRS3035RES1000mN2527000E3917000,1,0,"69142,69382",3,1.3,0.1,0.5,0,0.7,0,109015.1,149.6,1.2,0.1,0.2,0,0,1.1,0,0,0.2,0.1,0.1,0.2,0.3,0.8,0.7,0.3,0.2,0.1,0
CRS3035RES200mN2527400E3917800,CRS3035RES1000mN2527000E3917000,CRS3035RES1000mN2527000E3917000,0,0,69387,447.5,185,27,65,15,43,26,10372926.2,14250,185,0,0,53,132,0,0,51,25,12,38,46.5,37,106,97,37,32,17,0
CRS3035RES200mN2527400E3918000,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,1058.5,410,106,140,66,41,65,19689151.5,31221,409,1,15,234,119,39,3,315,47,31,100,120.5,87,197,189,116,131,39,1
CRS3035RES200mN2527400E3918200,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,1452,691,70,263,26,318,75,39010521,47745,688,3,12,150,266,263,0,102,71.5,31.5,93.5,103.5,118,425,271,142,144,52,0
CRS3035RES200mN2527400E3918400,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,250,145,17,84,3,46,11,7290648.6,8552,141,4,5,42,18,79,1,0,6.5,3,12,13,32.5,89,47,27,12,8,0
CRS3035RES200mN2527400E3918600,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,303,156,12,67,2,59,9,9257007.1,10000,155,1,12,0,0,144,0,9,22.5,5,13.5,12,32,125,58,18,11,6,0
CRS3035RES200mN2527400E3918800,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,519.5,314,55,184,9,100,18,13340351.2,17861,307,7,85,56,79,94,0,33,21,7,23,24.5,51,222,70,33,46,22,0
CRS3035RES200mN2527400E3919000,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,0,0,69387,721.5,362,70,182,25,97,38,16241365.1,21917,356,6,80,16,53,213,0,103,49.5,16.5,54.5,48.5,68.5,250,102,50,55,25,2
CRS3035RES200mN2527400E3919200,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,0,0,69387,324.5,172,28,98,12,44,16,7537216.1,9372,172,0,37,0,0,135,0,40,22,12,15,27,25.5,146,48,16,10,3,0
CRS3035RES200mN2527400E3919400,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,1,0,69387,5,2.8,0.2,1.4,0,0.8,0.1,166758.6,173.5,2.7,0.1,0.7,0,0,2.1,0,0,0.3,0.1,0.2,0.2,0.5,2.5,0.9,0.3,0,0,0
CRS3035RES200mN2527600E3917000,CRS3035RES1000mN2527000E3917000,CRS3035RES1000mN2527000E3917000,1,0,"69142,69382",55,23.7,1.6,8.7,0.8,12.7,0,1998610.3,2742.1,22.1,1.6,3.9,0,0,19.8,0,0,3.9,1.6,1.6,2.8,6.3,14.2,12.7,6.3,4,1.6,0
CRS3035RES200mN2527600E3917800,CRS3035RES1000mN2527000E3917000,CRS3035RES1000mN2527000E3917000,0,0,"69387,69382",110,54,4,23,2,11,2,3253449.5,3248,54,0,0,0,3,51,0,0,5,1,4,7,10,44,22,9,7,1,0
CRS3035RES200mN2527600E3918000,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,634,284,16,91,10,170,21,19177394.3,23424,284,0,0,0,134,150,0,58,42,14,36.5,39.5,32,153,114,76,109,18,0
CRS3035RES200mN2527600E3918200,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,586,321,36,160,3,167,29,15849098.8,22045,321,0,0,25,193,103,0,67,28,9,20,33,45.5,141.5,117,67,82,42,1
CRS3035RES200mN2527600E3918400,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,939,506,84,261,15,129,59,22537099,29344,506,0,27,137,74,268,0,169,46,26.5,51,59,98.5,305,173,72,74,34,0
CRS3035RES200mN2527600E3918600,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,1385,648,109,274,41,131,71,34739032.6,38574,648,0,0,0,0,648,0,207,77.5,35.5,118.5,113.5,134,502,261,74,49,12,8
CRS3035RES200mN2527600E3918800,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,223.5,137,30,78,3,56,8,6222040.6,7600,137,0,11,16,0,110,0,0,13.5,2,11,5,33,111,26,11,9,2,0
CRS3035RES200mN2527600E3919000,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,0,0,69387,1369.5,638,54,248,24,247,64,39533155.2,42264,638,0,13,1,0,623,1,95,92,40.5,93,107,85,494,289,87,74,8,0
CRS3035RES200mN2527600E3919200,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,1,0,69387,112,61.9,3.6,31,0.9,17.3,2.7,3735392.6,3886.3,60.1,1.8,16.4,0,0,45.5,0,0.9,6.4,1.8,3.6,3.7,11.8,56.5,20,6.4,0.9,0.9,0
CRS3035RES200mN2527600E3919800,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,0,0,"69388,69387",142,65,23,25,4,0,18,2404814.1,3954,65,0,65,0,0,0,0,65,15,11,6.5,7.5,11,38,35,10,6,2,0
CRS3035RES200mN2527600E3923000,CRS3035RES1000mN2527000E3923000,CRS3035RES1000mN2527000E3923000,1,0,"69388,69383",2.5,1.3,0.3,0.8,0.1,0.4,0.3,63174.1,94.6,1.1,0.2,1.2,0.1,0,0,0,0,0.2,0.1,0.3,0.2,0.2,0.7,0.4,0.3,0.1,0,0
CRS3035RES200mN2527600E3923200,CRS3035RES1000mN2527000E3923000,CRS3035RES1000mN2527000E3923000,1,0,"69029,69383,69388",2,1.1,0.2,0.6,0.1,0.3,0.2,50539.3,75.7,0.9,0.2,1,0.1,0,0,0,0,0.2,0.1,0.2,0.2,0.1,0.5,0.4,0.2,0.1,0,0
CRS3035RES200mN2527800E3917000,CRS3035RES1000mN2527000E3917000,CRS3035RES1000mN2527000E3917000,1,0,"69142,69382",2,0.9,0.1,0.3,0,0.5,0,72676.7,99.7,0.8,0.1,0.2,0,0,0.7,0,0,0.1,0.1,0.1,0.1,0.2,0.5,0.5,0.2,0.1,0.1,0
CRS3035RES200mN2527800E3918000,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,1136,560,69,253,33,275,63,28840740.4,39876,560,0,0,427,133,0,0,122,57,32,77.5,86,80.5,253,228,111,143,68,0
CRS3035RES200mN2527800E3918200,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,707,336,61,142,21,87,45,16542048.9,21471,335,1,8,0,0,328,0,160,40,28,42,51.5,53.5,219,130,72,62,9,0
CRS3035RES200mN2527800E3918400,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,683,340,47,158,14,174,30,16925684.1,23135,334,6,34,195,29,82,0,56,39.5,19.5,43.5,40.5,55,198,130,61,63,33,0
CRS3035RES200mN2527800E3918600,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,1,0,69387,58,35.3,2.7,19.9,0,5.4,2.7,1396638.4,1845.1,34.4,0.9,19,0,2.7,13.6,0,12.7,5.4,0,2.7,0.9,0,29.9,8.2,3.6,5.5,1.8,0
CRS3035RES200mN2527800E3918800,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,495,217,27,78,14,46,31,13008366.3,13820,217,0,0,0,0,217,0,65,52,26.5,38,35,39.5,217,65,15,7,0,0
CRS3035RES200mN2527800E3919000,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,0,0,69387,451,204,28,87,15,61,20,11261824.7,13816,204,0,23,0,51,130,0,84,36.5,8.5,30.5,38.5,34,136,83,45,33,6,0
CRS3035RES200mN2527800E3919200,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,0,0,69387,584.5,264,49,106,22,73,39,13661314.2,17223,264,0,41,0,0,223,0,96,38,20,45,57.5,39,171,134,41,33,6,0
CRS3035RES200mN2527800E3919400,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,1,0,69387,6,3.3,0.2,1.7,0,0.9,0.1,200110.3,208.2,3.2,0.1,0.9,0,0,2.4,0,0,0.3,0.1,0.2,0.2,0.6,3,1.1,0.3,0.1,0.1,0
CRS3035RES200mN2527800E3920000,CRS3035RES1000mN2527000E3920000,CRS3035RES1000mN2527000E3920000,0,0,"69388,69387",496,247,61,106,10,73,33,9882165.4,14897,247,0,51,123,1,72,0,84,30,16.5,30,30,52.5,157,70,45,47,18,0
CRS3035RES200mN2527800E3920200,CRS3035RES1000mN2527000E3920000,CRS3035RES1000mN2527000E3920000,0,0,"69388,69387",42,31,6,24,0,4,1,944829.2,1342,31,0,31,0,0,0,0,0,1,0,0,2,7,19,9,2,1,1,0
CRS3035RES200mN2527800E3920400,CRS3035RES1000mN2527000E3920000,CRS3035RES1000mN2527000E3920000,1,0,"69388,69387",2,1,0.1,0.3,0,0.1,0.1,58123.1,73.7,0.7,0.3,0.5,0.1,0,0.4,0,0,0.1,0,0,0.3,0,0.1,0.8,0.4,0.2,0.1,0
CRS3035RES200mN2527800E3922600,CRS3035RES1000mN2527000E3922000,CRS3035RES1000mN2527000E3922000,0,0,"69388,69383",126.5,75,12,44,3,39,8,3710784.3,4995,68,7,12,25,15,23,0,0,3,3,3.5,9,19,29,23,12,21,4,0
CRS3035RES200mN2527800E3922800,CRS3035RES1000mN2527000E3922000,CRS3035RES1000mN2527000E3922000,0,0,"69383,69388",364.5,174,12,75,12,119,14,12204742.6,15883,164,10,13,133,16,11,1,0,16,7,20.5,34,31,59,77,35,56,29,0
CRS3035RES200mN2527800E3923000,CRS3035RES1000mN2527000E3923000,CRS3035RES1000mN2527000E3923000,1,0,"69383,69388",47,25,5,14.1,1.7,6.7,5,1187673.5,1778.5,20.8,4.2,22.5,2.5,0,0,0,0,4.2,1.7,5,3.7,3.3,12.5,8.3,5,2.5,0.8,0
CRS3035RES200mN2528000E3917400,CRS3035RES1000mN2528000E3917000,CRS3035RES1000mN2528000E3917000,0,0,69382,123.5,62,3,25,2,15,5,4027305.3,4086,62,0,0,0,0,62,0,25,7,4,7.5,6,12,50,21,9,7,0,0
CRS3035RES200mN2528000E3917600,CRS3035RES1000mN2528000E3917000,CRS3035RES1000mN2528000E3917000,0,0,69382,107.5,50,6,21,2,27,10,2451978,3019,50,0,0,0,0,50,0,22,6,5,8,9.5,11,34,26,5,2,1,0
CRS3035RES200mN2528000E3918000,CRS3035RES1000mN2528000E3918000,CRS3035RES200mN2528000E3918000,0,0,"69387,69382",150.5,69,7,24,3,37,8,4505674.4,5234,69,0,0,0,0,69,0,0,4.5,2,6.5,15.5,20,32,35,20,13,2,0
CRS3035RES200mN2528000E3918200,CRS3035RES1000mN2528000E3918000,CRS3035RES200mN2528000E3918200,0,0,69387,470,259,56,141,9,63,18,12172505.1,14420,259,0,2,0,38,219,0,37,40.5,12,24,17.5,53,218,52,21,27,5,0
CRS3035RES200mN2528000E3918400,CRS3035RES1000mN2528000E3918000,CRS3035RES200mN2528000E3918400,0,0,69387,43,19,3,6,1,3,4,1077523.9,1319,19,0,0,0,0,19,0,5,3,1,6,5,1,13,11,0,3,0,0
CRS3035RES200mN2528000E3918600,CRS3035RES1000mN2528000E3918000,CRS3035RES200mN2528000E3918600,0,0,69387,203,101,17,50,5,8,12,4492947.5,5936,101,0,0,1,0,100,0,47,9,8,20.5,16.5,13,74,43,14,3,2,0
CRS3035RES200mN2528000E3918800,CRS3035RES1000mN2528000E3918000,CRS3035RES200mN2528000E3918800,0,0,69387,723,320,64,122,18,167,34,18592300.3,19063,320,0,0,0,0,320,0,69,75,34,62,44,45,307,125,17,14,0,0
CRS3035RES200mN2528000E3919000,CRS3035RES1000mN2528000E3919000,CRS3035RES1000mN2528000E3919000,0,0,69387,368.5,186,13,82,4,69,10,11355249.3,11637,186,0,0,1,0,185,0,36,35,13,19,12.5,13,192,60,8,15,1,0
CRS3035RES200mN2528000E3919200,CRS3035RES1000mN2528000E3919000,CRS3035RES1000mN2528000E3919000,0,0,69387,329.5,171,27,87,8,28,17,8857502.7,11152,171,0,3,25,54,89,0,12,22,5,19.5,19,25,135,66,19,13,6,0
CRS3035RES200mN2528000E3919400,CRS3035RES1000mN2528000E3919000,CRS3035RES1000mN2528000E3919000,1,0,69387,24,11.3,1.4,5.9,0.9,5.9,0,731080.3,667.9,7.7,3.6,10.9,0,0,0.4,0,0,0.4,1.4,1.8,0.5,1.8,8.1,3.6,2.7,3.2,0.5,0
CRS3035RES200mN2528000E3919600,CRS3035RES1000mN2528000E3919000,CRS3035RES1000mN2528000E3919000,1,0,69387,7,3.3,0.4,1.7,0.3,1.7,0,213231.8,194.8,2.2,1.1,3.2,0,0,0.1,0,0,0.1,0.4,0.5,0.1,0.5,2.4,1.1,0.8,0.9,0.2,0
CRS3035RES200mN2528000E3919800,CRS3035RES1000mN2528000E3919000,CRS3035RES1000mN2528000E3919000,0,0,69387,45,23,10,12,1,4,3,764832.7,1328,21,2,22,0,0,1,0,0,1,1,3,6,3,10,12,3,5,1,0
CRS3035RES200mN2528000E3920000,CRS3035RES1000mN2528000E3920000,CRS3035RES1000mN2528000E3920000,0,0,69387,458.5,282,63,177,8,77,17,10798053.3,15215,280,2,194,12,0,76,0,32,20.5,10,14.5,16.5,71,174,86,30,28,8,0
CRS3035RES200mN2528000E3920200,CRS3035RES1000mN2528000E3920000,CRS3035RES1000mN2528000E3920000,0,0,69387,881.5,499,92,301,25,82,38,19614806.3,25736,490,9,56,72,14,357,0,108,39,21.5,61.5,58.5,97,342,142,55,34,29,2
CRS3035RES200mN2528000E3920400,CRS3035RES1000mN2528000E3920000,CRS3035RES1000mN2528000E3920000,0,0,"69387,69388",557,312,43,165,5,57,27,14917192.8,18258,312,0,13,2,4,293,0,30,37,10,29.5,28,60.5,267,84,21,18,2,0
CRS3035RES200mN2528000E3920600,CRS3035RES1000mN2528000E3920000,CRS3035RES1000mN2528000E3920000,0,0,"69388,69387",1205,577,122,268,42,137,65,29214947.6,34451,577,0,0,0,0,577,0,217,63.5,32.5,93,108.5,137.5,409,220,75,52,14,0
CRS3035RES200mN2528000E3922200,CRS3035RES1000mN2528000E3922000,CRS3035RES1000mN2528000E3922000,1,0,"69388,69383",4,2.4,0.2,1.4,0,1.4,0.1,109926.9,159.6,2.4,0,0,2.4,0,0,0,0,0.1,0.1,0.2,0.1,0.2,1.3,0.6,0.5,0.6,0.3,0
CRS3035RES200mN2528000E3922400,CRS3035RES1000mN2528000E3922000,CRS3035RES1000mN2528000E3922000,1,0,"69383,69388",85.5,51.6,3.8,29.6,1,30.6,2.9,2349687.8,3412.4,51.6,0,0,50.6,0,1,0,0,2.9,1.9,4.3,1.9,3.8,26.7,13.4,11.5,13.4,5.7,0
CRS3035RES200mN2528000E3922800,CRS3035RES1000mN2528000E3922000,CRS3035RES1000mN2528000E3922000,0,0,69383,169,97,20,57,3,31,14,5059140.9,7003,74,23,39,42,6,10,0,18,5,4,4,10.5,20.5,42,32,19,28,4,0
CRS3035RES200mN2528000E3923000,CRS3035RES1000mN2528000E3923000,CRS3035RES1000mN2528000E3923000,0,0,69383,108.5,40,0,5,3,35,0,4936089.6,6205,4,36,37,2,1,0,0,0,1,1,4.5,9,9,16,13,31,18,6,0
CRS3035RES200mN2528000E3923200,CRS3035RES1000mN2528000E3923000,CRS3035RES1000mN2528000E3923000,0,0,69383,152,51,3,6,9,47,0,6526479.3,6158,13,38,35,14,0,1,1,0,5,3,11.5,20.5,12,16,36,14,24,10,0
CRS3035RES200mN2528000E3923400,CRS3035RES1000mN2528000E3923000,CRS3035RES1000mN2528000E3923000,0,0,"69029,69383",68,26,2,8,2,20,3,2207024.4,2310,14,12,24,1,0,1,0,2,0,3,4,6,10,7,14,15,9,0,0
CRS3035RES200mN2528200E3917600,CRS3035RES1000mN2528000E3917000,CRS3035RES1000mN2528000E3917000,0,0,69382,127,65,11,27,2,35,2,4375574.5,4162,65,0,0,0,0,65,0,8,9,4,7.5,4.5,9,60,16,7,8,2,0
CRS3035RES200mN2528200E3917800,CRS3035RES1000mN2528000E3917000,CRS3035RES1000mN2528000E3917000,0,0,69382,364,221,89,123,3,1,46,5836792.3,10090,221,0,219,0,0,2,0,207,23,6,8,23,27,53,63,56,71,34,0
CRS3035RES200mN2528200E3918600,CRS3035RES1000mN2528000E3918000,CRS3035RES200mN2528200E3918600,0,0,69387,362.5,175,24,81,10,40,14,9714611.2,10707,175,0,0,0,0,175,0,49,39,12,19.5,24,41,159,48,12,6,2,0
CRS3035RES200mN2528200E3919000,CRS3035RES1000mN2528000E3919000,CRS3035RES1000mN2528000E3919000,0,0,69387,252.5,123,9,50,5,55,11,7327096.7,7919,123,0,0,0,0,123,0,11,19.5,8,14.5,15.5,19,117,43,9,7,0,0
CRS3035RES200mN2528200E3919200,CRS3035RES1000mN2528000E3919000,CRS3035RES1000mN2528000E3919000,0,0,69387,918.5,510,94,286,24,91,47,23246750.2,27855,510,0,125,0,23,362,0,130,48,27.5,51.5,49.5,91,369,167,54,54,7,0
CRS3035RES200mN2528200E3919400,CRS3035RES1000mN2528000E3919000,CRS3035RES1000mN2528000E3919000,1,0,69387,16,7.5,0.9,3.9,0.6,3.9,0,487386.9,445.3,5.1,2.4,7.2,0,0,0.3,0,0,0.3,0.9,1.2,0.3,1.2,5.5,2.4,1.8,2.1,0.3,0
CRS3035RES200mN2528200E3919800,CRS3035RES1000mN2528000E3919000,CRS3035RES1000mN2528000E3919000,0,0,69387,348.5,218,39,131,2,75,10,8211210.7,12471,218,0,97,121,0,0,0,0,13,7,10.5,6,43,155,41,23,33,17,0
CRS3035RES200mN2528200E3920000,CRS3035RES1000mN2528000E3920000,CRS3035RES1000mN2528000E3920000,0,0,69387,965.5,540,110,297,16,237,25,25398454.1,32634,536,4,163,35,253,89,0,5,39,15.5,27,54,135,308,149,74,116,48,0
CRS3035RES200mN2528200E3920200,CRS3035RES1000mN2528000E3920000,CRS3035RES1000mN2528000E3920000,0,0,69387,78,41,5,21,3,18,3,2445125.1,2736,41,0,14,0,0,27,0,0,3,1,6,4,7,35,13,5,2,2,0
CRS3035RES200mN2528200E3921800,CRS3035RES1000mN2528000E3921000,CRS3035RES200mN2528200E3921800,0,0,"69388,69383",971,497,54,225,19,184,31,31563271.8,34527,493,4,116,0,13,368,0,8,34,14.5,56,58.5,112,283,179,119,89,26,0
CRS3035RES200mN2528200E3922000,CRS3035RES1000mN2528000E3922000,CRS3035RES1000mN2528000E3922000,0,0,"69383,69388",292,169,26,90,2,53,18,8079952.3,10281,165,4,81,79,9,0,0,0,11,3,10,19.5,36.5,105,45,21,32,9,0
