Code du département,Libellé du département,Code de la circonscription,Libellé de la circonscription,Code de la commune,Libellé de la commune,Code du b.vote,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N°Panneau,Sexe,Nom,Prénom,Voix,% Voix/Ins,% Voix/Exp,,,,,,,
69,Rhône,04,4ème circonscription,123,Lyon,0607,636,133,"20,91",503,"79,09",9,"1,42","1,79",4,"0,63","0,8",490,"77,04","97,42",1,M,MACRON,Emmanuel,404,"63,52","82,45",2,F,LE PEN,Marine,86,"13,52","17,55"
69,Rhône,04,4ème circonscription,123,Lyon,0608,486,116,"23,87",370,"76,13",24,"4,94","6,49",5,"1,03","1,35",341,"70,16","92,16",1,M,MACRON,Emmanuel,269,"55,35","78,89",2,F,LE PEN,Marine,72,"14,81","21,11"
69,Rhône,04,4ème circonscription,123,Lyon,0609,944,201,"21,29",743,"78,71",39,"4,13","5,25",6,"0,64","0,81",698,"73,94","93,94",1,M,MACRON,Emmanuel,544,"57,63","77,94",2,F,LE PEN,Marine,154,"16,31","22,06"
69,Rhône,04,4ème circonscription,123,Lyon,0610,1145,238,"20,79",907,"79,21",49,"4,28","5,4",8,"0,7","0,88",850,"74,24","93,72",1,M,MACRON,Emmanuel,702,"61,31","82,59",2,F,LE PEN,Marine,148,"12,93","17,41"
69,Rhône,04,4ème circonscription,123,Lyon,0611,975,182,"18,67",793,"81,33",29,"2,97","3,66",14,"1,44","1,77",750,"76,92","94,58",1,M,MACRON,Emmanuel,602,"61,74","80,27",2,F,LE PEN,Marine,148,"15,18","19,73"
69,Rhône,04,4ème circonscription,123,Lyon,0612,1196,310,"25,92",886,"74,08",47,"3,93","5,3",19,"1,59","2,14",820,"68,56","92,55",1,M,MACRON,Emmanuel,655,"54,77","79,88",2,F,LE PEN,Marine,165,"13,8","20,12"
69,Rhône,04,4ème circonscription,123,Lyon,0613,1046,192,"18,36",854,"81,64",40,"3,82","4,68",10,"0,96","1,17",804,"76,86","94,15",1,M,MACRON,Emmanuel,637,"60,9","79,23",2,F,LE PEN,Marine,167,"15,97","20,77"
69,Rhône,04,4ème circonscription,123,Lyon,0614,869,191,"21,98",678,"78,02",21,"2,42","3,1",15,"1,73","2,21",642,"73,88","94,69",1,M,MACRON,Emmanuel,506,"58,23","78,82",2,F,LE PEN,Marine,136,"15,65","21,18"
69,Rhône,04,4ème circonscription,123,Lyon,0615,1081,219,"20,26",862,"79,74",48,"4,44","5,57",3,"0,28","0,35",811,"75,02","94,08",1,M,MACRON,Emmanuel,667,"61,7","82,24",2,F,LE PEN,Marine,144,"13,32","17,76"
69,Rhône,04,4ème circonscription,123,Lyon,0616,910,157,"17,25",753,"82,75",37,"4,07","4,91",8,"0,88","1,06",708,"77,8","94,02",1,M,MACRON,Emmanuel,549,"60,33","77,54",2,F,LE PEN,Marine,159,"17,47","22,46"
