idcar_200m,idcar_1km,idcar_nat,i_est_200,i_est_1km,lcog_geo,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS3035RES200mN2525800E3917600,CRS3035RES1000mN2525000E3917000,CRS3035RES1000mN2525000E3917000,1,0,"69387,69149",7,3.1,1,1.5,0.4,1.1,0.2,126314.4,199.1,2.7,0.4,2.9,0.1,0,0.1,0,0.1,0.4,0.2,0.5,0.6,0.7,1.9,1,0.4,0.9,0.3,0.1
CRS3035RES200mN2526200E3918200,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,1,0,69387,5,3,1,2.2,0.1,0.4,0.1,98284.7,127.8,2.8,0.2,0.2,1.1,0,1.7,0,0.3,0.4,0.2,0.4,0.1,1.2,1.9,0.3,0.3,0.1,0.1,0
CRS3035RES200mN2526400E3918000,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,1,0,69387,54,32.2,10.5,23.4,1.6,4,1.6,1061475.3,1380.6,30.6,1.6,2.4,12.1,0,17.7,0,3.2,4,2.4,4.1,1.6,12.9,21,3.2,3.2,0.8,0.8,0
CRS3035RES200mN2526400E3918200,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,1,0,69387,5,3,1,2.2,0.1,0.4,0.1,98284.7,127.8,2.8,0.2,0.2,1.1,0,1.7,0,0.3,0.4,0.2,0.4,0.1,1.2,1.9,0.3,0.3,0.1,0.1,0
CRS3035RES200mN2526400E3919200,CRS3035RES1000mN2526000E3919000,CRS3035RES1000mN2526000E3919000,1,0,69387,4,1.8,0.1,0.5,0.1,1,0.1,103736.7,138,1.8,0,0,0.1,1.2,0.5,0,0.5,0.2,0,0.2,0.2,0.4,0.8,0.8,0.7,0.6,0.1,0
CRS3035RES200mN2526600E3918000,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,1,0,69387,3,1.8,0.6,1.3,0.1,0.2,0.1,58970.8,76.7,1.7,0.1,0.1,0.7,0,1,0,0.2,0.2,0.1,0.2,0.1,0.7,1.2,0.2,0.2,0,0.1,0
CRS3035RES200mN2526600E3918800,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,0,0,69387,55,37,5,29,1,0,1,1007799.7,1735,37,0,37,0,0,0,0,0,1,0,2,3,2,24,10,7,4,2,0
CRS3035RES200mN2526600E3919400,CRS3035RES1000mN2526000E3919000,CRS3035RES1000mN2526000E3919000,1,0,69387,4,1.8,0.1,0.5,0.1,1,0.1,103736.7,138,1.8,0,0,0.1,1.2,0.5,0,0.5,0.2,0,0.2,0.2,0.4,0.8,0.8,0.7,0.6,0.1,0
CRS3035RES200mN2526800E3917600,CRS3035RES1000mN2526000E3917000,CRS3035RES1000mN2526000E3917000,1,0,69387,26,10,0.7,3.3,0.7,2.7,0,795850,859.3,8,2,2,0.7,0,7.3,0,0,2,2,2.7,2.7,0,3.3,6.6,4,0.7,2,0
CRS3035RES200mN2526800E3918200,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,0,0,69387,375.5,157,31,61,20,28,30,7441427.9,10868,157,0,0,0,157,0,0,103,18.5,12.5,46.5,43.5,27.5,90,69,32,29,7,0
CRS3035RES200mN2526800E3918400,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,0,0,69387,320.5,187,27,110,7,27,10,7891945.6,10372,187,0,31,52,0,104,0,0,9,7,20.5,15,25,115,51,21,28,29,0
CRS3035RES200mN2526800E3918600,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,0,0,69387,522.5,205,79,75,38,6,39,8338167.5,12512,205,0,197,6,0,2,0,194,20,18,39,65,37.5,77,92,80,61,33,0
CRS3035RES200mN2526800E3918800,CRS3035RES1000mN2526000E3918000,CRS3035RES1000mN2526000E3918000,0,0,69387,646.5,271,106,99,32,0,60,9730857.4,16380,271,0,271,0,0,0,0,271,31,23,49.5,57.5,46.5,90,113,82,95,59,0
CRS3035RES200mN2526800E3919000,CRS3035RES1000mN2526000E3919000,CRS3035RES1000mN2526000E3919000,1,0,69387,240.5,105.7,4.8,31.4,3.8,61,8.6,6237166.3,8296.1,105.7,0,0,2.8,74.3,28.6,0,27.6,9.5,1.9,11.9,15.2,22.9,48.6,50.5,41,35.2,3.8,0
CRS3035RES200mN2526800E3919200,CRS3035RES1000mN2526000E3919000,CRS3035RES1000mN2526000E3919000,1,0,69387,4,1.8,0.1,0.5,0.1,1,0.1,103736.7,138,1.8,0,0,0.1,1.2,0.5,0,0.5,0.2,0,0.2,0.2,0.4,0.8,0.8,0.7,0.6,0.1,0
CRS3035RES200mN2527000E3918000,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,1,0,69387,1,0.7,0.1,0.5,0,0.2,0,22556.3,32.1,0.7,0,0.7,0,0,0,0,0.4,0,0,0,0,0,0.4,0.2,0.1,0.2,0.1,0
CRS3035RES200mN2527000E3918200,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,815.5,450,62,244,15,162,30,19693292.9,26706,450,0,0,0,407,43,0,102,44,15.5,42,40,71,292,144,81,74,12,0
CRS3035RES200mN2527000E3918400,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,216.5,109,27,55,11,37,15,4557392.8,5692,109,0,32,0,0,77,0,19,11,6,15,16.5,32,75,38,12,7,4,0
CRS3035RES200mN2527000E3918600,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,748,394,58,184,8,152,40,18015291.9,25311,394,0,113,24,92,165,0,123,44.5,16,39.5,28,59,218,134,73,87,49,0
CRS3035RES200mN2527000E3918800,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,751.5,326,68,119,30,52,55,13789888.1,23172,326,0,1,4,263,58,0,60,34.5,31.5,47.5,68.5,61.5,163,147,67,95,35,1
CRS3035RES200mN2527000E3919000,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,0,0,69387,281.5,149,28,65,3,70,8,7075935.8,8432,149,0,0,54,0,95,0,0,23,7,6.5,8,31,121,34,17,24,10,0
CRS3035RES200mN2527200E3917000,CRS3035RES1000mN2527000E3917000,CRS3035RES1000mN2527000E3917000,1,0,"69142,69382",8.5,3.7,0.5,1.1,0.2,1.6,0.6,251939.4,364.3,3.2,0.5,0.7,0,0,3,0,0,0.6,0.2,0.2,0.4,1.1,2.2,1.4,1.6,0.6,0.2,0
CRS3035RES200mN2527200E3918000,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,604,217,45,59,35,27,38,13205711.4,16492,217,0,0,0,0,217,0,173,37,21,45,77,58.5,133,111.5,49,45,26,1
CRS3035RES200mN2527200E3918200,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,651.5,275,51,96,25,68,51,12783894.3,18122,275,0,0,177,72,26,0,124,50.5,20.5,39.5,54.5,60.5,158,113,80,51,24,0
CRS3035RES200mN2527200E3918400,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,268,153,34,88,3,18,7,5790323.9,7093,153,0,9,6,0,138,0,48,14,11.5,17,3.5,37,114,42,16,11,2,0
CRS3035RES200mN2527200E3918600,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,316.5,131,10,50,9,79,11,8267396.6,10148,130,1,0,128,0,3,0,23,16,9.5,22.5,32.5,29,66,64,33,32,12,0
CRS3035RES200mN2527200E3918800,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,801.5,414,76,212,20,75,45,15986137.9,24711,400,14,23,100,184,107,0,257,35.5,18.5,39.5,58,59,200,159,94,96,42,0
CRS3035RES200mN2527200E3919000,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,0,0,69387,751,351,57,152,20,121,31,17044592.4,22617,339,12,63,1,194,93,0,25,52,17,50,46,87,271,130,46,45,7,0
CRS3035RES200mN2527200E3919200,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,0,0,69387,110,68,11,43,2,25,1,2726080.9,3757,68,0,60,0,8,0,0,0,7,1,5,2,10,55,15,4,6,5,0
CRS3035RES200mN2527400E3917000,CRS3035RES1000mN2527000E3917000,CRS3035RES1000mN2527000E3917000,1,0,"69142,69382",4,1.7,0.2,0.5,0.1,0.7,0.3,118559.7,171.4,1.5,0.2,0.3,0,0,1.4,0,0,0.3,0.1,0.1,0.2,0.5,1,0.7,0.7,0.3,0.1,0
CRS3035RES200mN2527400E3917800,CRS3035RES1000mN2527000E3917000,CRS3035RES1000mN2527000E3917000,0,0,69387,494,186,28,55,23,30,29,10620095.1,14375,186,0,0,54,132,0,0,53,33.5,18.5,48.5,54.5,34,112,110,38,31,14,0
CRS3035RES200mN2527400E3918000,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,1110.5,414,98,131,67,45,78,19886952.3,31938,413,1,15,244,122,33,0,324,50,38,101.5,141,83,208,190,127,116,48,8
CRS3035RES200mN2527400E3918200,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,1446.5,695,57,278,27,307,70,37478088.4,47244,692,3,16,142,273,264,0,88,68,46.5,73,99,140,427,252,144,138,56,3
CRS3035RES200mN2527400E3918400,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,255,142,18,79,4,44,11,7041048.1,8594,139,3,2,33,22,85,0,0,11.5,9.5,5.5,15.5,28,87,55,25,8,8,2
CRS3035RES200mN2527400E3918600,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,330.5,164,18,69,4,54,8,9603628.4,10422,163,1,12,0,0,152,0,4,26,11.5,15.5,9.5,32,152,54,14,11,5,0
CRS3035RES200mN2527400E3918800,CRS3035RES1000mN2527000E3918000,CRS3035RES1000mN2527000E3918000,0,0,69387,367.5,244,41,157,3,87,13,8723907.1,13726,238,6,79,63,87,15,0,10,10.5,6.5,6.5,14.5,34.5,151,54,26,47,17,0
CRS3035RES200mN2527400E3919000,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,0,0,69387,744,378,76,181,17,94,41,16475397.3,23052,373,5,89,18,55,216,0,107,43.5,24.5,52.5,43.5,64,270,107,56,59,24,0
CRS3035RES200mN2527400E3919200,CRS3035RES1000mN2527000E3919000,CRS3035RES1000mN2527000E3919000,0,0,69387,356,191,30,100,9,41,20,8100963.9,10079,191,0,41,0,0,150,0,38,30,7,19,23,36,159,51,15,11,5,0
