Idcar_200m,I_est_200,Idcar_1km,I_est_1km,Idcar_nat,Groupe,Ind,Men_1ind,Men_5ind,Men_prop,Men_fmp,Ind_snv,Men_surf,Men_coll,Men_mais,Log_av45,Log_45_70,Log_70_90,Log_ap90,Log_inc,Log_soc,Ind_0_3,Ind_4_5,Ind_6_10,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_55_64,Ind_65_79,Ind_80p,Ind_inc,Men_pauv,Men,lcog_geo
CRS3035RES200mN2529000E3921600,0,CRS3035RES1000mN2529000E3921000,0,CRS3035RES1000mN2529000E3921000,595541,482.5,82,8,102,18,15346555.2,16080,219,5,25,37,0,162,0,2,27.5,11,27,42,36,163,101,31,36,8,0,10,224,69383
CRS3035RES200mN2529000E3921800,0,CRS3035RES1000mN2529000E3921000,0,CRS3035RES1000mN2529000E3921000,595545,628.5,146,11,101,33,16872455.9,21443,299,22,118,28,27,148,0,50,42.5,17.5,37.5,25,62,223,100,55,44,20,2,32,321,69383
CRS3035RES200mN2529000E3922000,0,CRS3035RES1000mN2529000E3922000,0,CRS3035RES200mN2529000E3922000,595671,1301.5,257,41,112,89,25929863.3,36854,600,4,145,68,290,101,0,254,71,52.5,83.5,125,133.5,383,261,99,64,25,4,109,604,69383
CRS3035RES200mN2529000E3922200,0,CRS3035RES1000mN2529000E3922000,0,CRS3035RES200mN2529000E3922200,595652,416.5,66,13,134,17,11492749.7,14568,171,17,33,100,29,26,0,4,23,12,19,34.5,30,84,88,47,52,27,0,10,188,69383
CRS3035RES200mN2529000E3922400,0,CRS3035RES1000mN2529000E3922000,0,CRS3035RES200mN2529000E3922400,595649,293,42,13,58,10,8841300.3,9847,73,43,28,6,23,59,0,11,13,9,17.5,28.5,39,65,53,33,28,7,0,8,116,69383
CRS3035RES200mN2529000E3922600,0,CRS3035RES1000mN2529000E3922000,0,CRS3035RES200mN2529000E3922600,595651,365.5,61,14,111,9,11774491.1,13297,118,42,56,51,17,36,0,0,15,12,19,30.5,37,67,72,34,47,31,1,11,160,69383
CRS3035RES200mN2529000E3922800,0,CRS3035RES1000mN2529000E3922000,0,CRS3035RES200mN2529000E3922800,595653,428,64,14,98,22,12777095.6,16396,140,49,108,9,34,38,0,35,23,7.5,22.5,47.5,24.5,68,101,50,62,20,2,19,189,69383
CRS3035RES200mN2529000E3923000,0,CRS3035RES1000mN2529000E3923000,0,CRS3035RES1000mN2529000E3923000,595634,489,101,14,93,16,14772261.6,17683,204,24,61,29,45,93,0,18,28.5,16,29,40.5,37,116,103,49,45,25,0,20,228,69383
CRS3035RES200mN2529000E3923200,0,CRS3035RES1000mN2529000E3923000,0,CRS3035RES1000mN2529000E3923000,595635,507.5,99,15,133,17,15744704.8,19548.7,193,48,110,26,36,69,0,10,10,6,37,37.5,51,75,126,56,62,47,0,25,241,69383
CRS3035RES200mN2529000E3923400,0,CRS3035RES1000mN2529000E3923000,0,CRS3035RES1000mN2529000E3923000,595631,386.5,82,10,100,12,12415411.2,15384,150,39,36,40,37,76,0,0,22,7,16,24.5,34,92,77,43,45,26,0,13,189,69383
CRS3035RES200mN2529000E3923600,0,CRS3035RES1000mN2529000E3923000,0,CRS3035RES1000mN2529000E3923000,595630,337.5,53,10,83,15,10242303.7,12792,99,47,70,32,23,21,0,10,13,7,26,35.5,36,58,78,24,39,21,0,19,146,"69383,69029"
CRS3035RES200mN2529000E3923800,0,CRS3035RES1000mN2529000E3923000,0,CRS3035RES1000mN2529000E3923000,595626,80,34,0,27,4,1709556.4,2961,49,5,30,24,0,0,0,0,1,0,0,2.5,5.5,26,8,15,16,6,0,6,54,"69029,69383,69266"
CRS3035RES200mN2529200E3914200,0,CRS3035RES1000mN2529000E3914000,0,CRS3035RES1000mN2529000E3914000,595287,96,3,7,29,1,3426542.2,4461.5,1,29,5,8,4,12,1,0,7,4,15,8,4,10,21,8,14,5,0,0,30,"69089,69385"
CRS3035RES200mN2529200E3914400,0,CRS3035RES1000mN2529000E3914000,0,CRS3035RES1000mN2529000E3914000,595283,70,5,4,16,1,2632784.5,3655,4,19,8,3,2,10,0,0,4,3,7.5,4.5,6,13,16,10,4,2,0,1,23,"69385,69202,69089"
CRS3035RES200mN2529200E3914600,0,CRS3035RES1000mN2529000E3914000,0,CRS3035RES1000mN2529000E3914000,595290,132.5,5,8,42,2,4764719.4,5796,6,42,15,6,20,7,0,0,4,3,8,8.5,13,11,26,18,30,11,0,2,48,69385
CRS3035RES200mN2529200E3914800,0,CRS3035RES1000mN2529000E3914000,0,CRS3035RES1000mN2529000E3914000,595291,134.5,8,8,42,2,4895903.8,5939,3,46,8,12,12,17,0,0,5,2,11,15.5,12,12,26,13,28,10,0,2,49,69385
CRS3035RES200mN2529200E3915000,0,CRS3035RES1000mN2529000E3915000,0,CRS3035RES1000mN2529000E3915000,595323,463,77,9,79,38,10110042.6,15816,181,28,5,201,3,0,0,117,19,10.5,22,51.5,39,56,96,54,66,46,3,31,209,69385
CRS3035RES200mN2529200E3915200,0,CRS3035RES1000mN2529000E3915000,0,CRS3035RES1000mN2529000E3915000,595307,98,24,1,36,7,2193565.2,3294,48,2,4,44,0,2,0,0,4,3,3.5,5.5,10,23,19,11,6,13,0,5,50,69385
CRS3035RES200mN2529200E3915400,0,CRS3035RES1000mN2529000E3915000,0,CRS3035RES1000mN2529000E3915000,595325,675.5,108,29,74,54,12149589.9,20275,274,9,4,212,60,7,0,161,49.5,26,62.5,58.5,49,127,112,85,73,32,1,66,283,"69385,69202"
CRS3035RES200mN2529200E3915600,0,CRS3035RES1000mN2529000E3915000,0,CRS3035RES1000mN2529000E3915000,595309,161.5,31,6,58,6,5069074.3,6795,62,10,11,0,18,43,0,0,3,0,6.5,14,23,18,30,24,20,23,0,4,72,"69202,69385"
CRS3035RES200mN2529200E3915800,1,CRS3035RES1000mN2529000E3915000,0,CRS3035RES1000mN2529000E3915000,595303,15,1.5,0.3,4.5,0.6,566857.1,1003.4,0.9,5.6,1.8,1.5,0.3,2.9,0,0,0.6,0,1.5,0.4,0.3,2.1,3.5,2.4,3.6,0,0.6,0.3,6.5,"69202,69385"
CRS3035RES200mN2529200E3916600,0,CRS3035RES1000mN2529000E3916000,0,CRS3035RES200mN2529200E3916600,595392,303.5,60,4,67,12,10296432.2,12619.4,131,21,17,55,3,76,1,0,9.5,4.5,13.5,22,25,61,61,33,50,24,0,8,152,"69202,69385"
CRS3035RES200mN2529200E3916800,0,CRS3035RES1000mN2529000E3916000,0,CRS3035RES200mN2529200E3916800,595402,528,75,12,134,38,15689779,19280,215,16,0,41,41,149,0,37,26,17,34.5,41.5,45,99,109,47,68,41,0,25,231,"69202,69385"
CRS3035RES200mN2529200E3917000,0,CRS3035RES1000mN2529000E3917000,0,CRS3035RES1000mN2529000E3917000,595366,306.5,70,7,68,9,11725139.4,14813.8,150,5,3,0,91,61,0,2,6,3.5,21.5,24,22.5,39,87,33,54,16,0,14,155,"69385,69202"
CRS3035RES200mN2529200E3917200,0,CRS3035RES1000mN2529000E3917000,0,CRS3035RES1000mN2529000E3917000,595347,60,5,2,17,0,2354331.8,2784,13,8,12,5,4,0,0,0,2,0,3,6,5,11,9,12,6,6,0,0,21,"69385,69142"
CRS3035RES200mN2529200E3917400,0,CRS3035RES1000mN2529000E3917000,0,CRS3035RES1000mN2529000E3917000,595356,157.5,36,2,39,10,4939737.9,6753,69,11,50,0,1,29,0,7,6,2.5,7.5,12,14.5,45,39,16,11,4,0,10,80,"69385,69142"
CRS3035RES200mN2529200E3917600,0,CRS3035RES1000mN2529000E3917000,0,CRS3035RES1000mN2529000E3917000,595358,144,44,2,43,6,3790962,5831,84,1,37,28,0,20,0,0,7,4,1.5,2,21,42.5,24,16,17,9,0,11,85,"69385,69382"
CRS3035RES200mN2529200E3917800,0,CRS3035RES1000mN2529000E3917000,0,CRS3035RES1000mN2529000E3917000,595360,174,58,4,27,10,3460848.8,5812,99,0,99,0,0,0,0,40,9,4,9.5,10.5,15,51,30,18,19,7,1,23,99,"69382,69385"
CRS3035RES200mN2529200E3918000,0,CRS3035RES1000mN2529000E3918000,0,CRS3035RES1000mN2529000E3918000,595430,217.5,41,12,49,4,5999124.8,8262.6,89,1,89,1,0,0,0,0,12,7.5,13,22,29,31,42,26,21,13,1,10,90,69382
CRS3035RES200mN2529200E3918200,0,CRS3035RES1000mN2529000E3918000,0,CRS3035RES1000mN2529000E3918000,595434,242.5,66,8,43,7,7245745.6,9401,129,0,101,0,28,0,0,0,9,7,13,11,22.5,65,39,27,33,14,2,19,129,69382
CRS3035RES200mN2529200E3918400,0,CRS3035RES1000mN2529000E3918000,0,CRS3035RES1000mN2529000E3918000,595443,772.5,184,22,153,29,22184050,32757,393,0,364,10,19,0,0,38,20.5,9,37.5,50.5,78,172,136,81,132,56,0,51,393,69382
CRS3035RES200mN2529200E3918600,0,CRS3035RES1000mN2529000E3918000,0,CRS3035RES1000mN2529000E3918000,595439,495,115,16,60,17,13689368.3,20435,238,0,220,5,12,1,0,52,20,9,35,32,42,115,103,53,56,26,4,31,238,"69382,69387"
CRS3035RES200mN2529200E3919000,0,CRS3035RES1000mN2529000E3919000,0,CRS3035RES200mN2529200E3919000,595472,137.5,43,0,6,5,3490388.9,4756,77,0,77,0,0,0,0,0,8,4,6.5,7,11,57,31,7,5,1,0,9,77,69387
CRS3035RES200mN2529200E3919200,0,CRS3035RES1000mN2529000E3919000,0,CRS3035RES200mN2529200E3919200,595473,187,93,2,14,11,3724358.7,6384,131,0,90,18,0,23,0,54,7,5,5,2,17,77,40,10,15,9,0,39,131,69387
CRS3035RES200mN2529200E3919400,0,CRS3035RES1000mN2529000E3919000,0,CRS3035RES200mN2529200E3919400,595476,668,245,14,91,15,13364119,19292,386,4,283,75,21,11,0,30,51.5,14.5,31,27,61,322,84,36,22,19,0,102,390,69387
CRS3035RES200mN2529200E3919600,0,CRS3035RES1000mN2529000E3919000,0,CRS3035RES200mN2529200E3919600,595485,1034.5,345,19,177,32,25443173.9,34700.6,595,3,483,22,1,89,3,58,51,16.5,40.5,36.5,109,447,158,69,82,24,1,114,598,69387
CRS3035RES200mN2529200E3919800,0,CRS3035RES1000mN2529000E3919000,0,CRS3035RES200mN2529200E3919800,595479,839.5,235,10,166,22,23552126.8,29836,455,4,295,33,28,103,0,18,43,13.5,39.5,42.5,61,328,153,67,62,30,0,57,459,69387
CRS3035RES200mN2529200E3920000,0,CRS3035RES1000mN2529000E3920000,0,CRS3035RES1000mN2529000E3920000,595573,1002,297,17,250,32,29381803.6,39116,549,4,162,31,89,271,0,1,44,16.5,51.5,56,76,339,179,84,101,55,0,60,553,"69387,69383"
CRS3035RES200mN2529200E3920200,0,CRS3035RES1000mN2529000E3920000,0,CRS3035RES1000mN2529000E3920000,595574,1026.5,285,17,285,35,30421452.5,41116,557,1,134,82,302,40,0,12,32.5,17,44.5,56,94.5,294,195,99,122,72,0,55,558,"69387,69383"
CRS3035RES200mN2529200E3920400,0,CRS3035RES1000mN2529000E3920000,0,CRS3035RES1000mN2529000E3920000,595581,1101,394,9,232,43,29552898.9,40456,667,1,143,29,124,372,0,6,62,20,38.5,31,104.5,453,179,85,81,46,1,92,668,"69383,69387"
CRS3035RES200mN2529200E3920600,0,CRS3035RES1000mN2529000E3920000,0,CRS3035RES1000mN2529000E3920000,595569,826,168,8,112,33,26468123.3,28286,418,0,0,0,0,418,0,31,63,21.5,48.5,32,41,380,132,62,39,7,0,21,418,69383
CRS3035RES200mN2529200E3920800,1,CRS3035RES1000mN2529000E3920000,0,CRS3035RES1000mN2529000E3920000,595562,1,0.2,0,0.1,0,26455.8,28.2,0.5,0,0.4,0,0,0.1,0,0,0.1,0,0,0,0.2,0.3,0.3,0.1,0,0,0,0.1,0.5,69383
CRS3035RES200mN2529200E3921200,0,CRS3035RES1000mN2529000E3921000,0,CRS3035RES1000mN2529000E3921000,595559,1132.5,296,28,157,54,25746748,34758,583,3,162,25,0,399,0,214,56.5,34.5,72,70.5,100,338,232,90,98,40,1,108,586,69383
CRS3035RES200mN2529200E3921400,0,CRS3035RES1000mN2529000E3921000,0,CRS3035RES1000mN2529000E3921000,595551,865.5,196,27,177,37,23886303.8,27950,423,1,118,0,86,220,0,63,33.5,13.5,56,67,84.5,211,173,128,79,19,1,58,424,69383
CRS3035RES200mN2529200E3921600,0,CRS3035RES1000mN2529000E3921000,0,CRS3035RES1000mN2529000E3921000,595557,1007.5,327,22,159,41,24599753.3,33116.7,551,5,63,12,203,278,0,88,56.5,18,49,65,90,267,179,88,99,95,1,74,556,69383
CRS3035RES200mN2529200E3921800,0,CRS3035RES1000mN2529000E3921000,0,CRS3035RES1000mN2529000E3921000,595544,651.5,126,14,144,18,18075339.5,22064,276,30,90,40,49,127,0,18,28,10,40,47.5,56,192,136,69,50,23,0,26,306,69383
CRS3035RES200mN2529200E3922000,0,CRS3035RES1000mN2529000E3922000,0,CRS3035RES200mN2529200E3922000,595650,278,44,6,92,13,8708834.5,10906,93,35,55,19,24,30,0,0,15,4,14,13,30,65,50,30,38,19,0,12,128,69383
CRS3035RES200mN2529200E3922200,0,CRS3035RES1000mN2529000E3922000,0,CRS3035RES200mN2529200E3922200,595647,223,43,8,44,9,6197649,8105,77,25,34,5,1,62,0,17,10,5.5,10,20.5,24,52,43,23,26,8,1,5,102,69383
CRS3035RES200mN2529200E3922400,0,CRS3035RES1000mN2529000E3922000,0,CRS3035RES200mN2529200E3922400,595648,258,51,13,40,12,6207215,8280,92,20,73,0,3,36,0,31,11,5,20,24,28,65,51,29,16,9,0,16,112,69383
CRS3035RES200mN2529200E3922600,0,CRS3035RES1000mN2529000E3922000,0,CRS3035RES200mN2529200E3922600,595654,479.5,81,19,74,22,12924170.3,15079,191,16,46,0,1,160,0,47,30,16,27,42.5,44,133,108,44,26,8,1,24,207,69383
CRS3035RES200mN2529200E3922800,0,CRS3035RES1000mN2529000E3922000,0,CRS3035RES200mN2529200E3922800,595657,584.5,123,13,127,38,15252626,21013,265,18,104,13,52,114,0,77,41,11.5,23,44,60,143,95,67,74,26,0,42,283,"69383,69266"
CRS3035RES200mN2529200E3923000,0,CRS3035RES1000mN2529000E3923000,0,CRS3035RES1000mN2529000E3923000,595636,674,144,19,101,51,16929347.3,21826,294,25,124,40,1,154,0,41,50,15.5,51,59.5,58,169,145,59,53,14,0,55,319,"69383,69266"
CRS3035RES200mN2529200E3923200,0,CRS3035RES1000mN2529000E3923000,0,CRS3035RES1000mN2529000E3923000,595638,766,157,23,136,31,18832668.8,24747,349,12,82,19,35,225,0,52,44,20,52.5,65.5,61,205,152,56,72,27,11,46,361,"69383,69266"
CRS3035RES200mN2529200E3923400,0,CRS3035RES1000mN2529000E3923000,0,CRS3035RES1000mN2529000E3923000,595642,1006,227,29,204,39,25594474.3,34622,480,8,99,14,180,195,0,121,53,20.5,66,72.5,79,200,198,101,143,72,1,72,488,"69383,69266"
CRS3035RES200mN2529200E3923600,0,CRS3035RES1000mN2529000E3923000,0,CRS3035RES1000mN2529000E3923000,595628,209,33,5,35,12,4987186.6,7055,82,10,20,2,14,56,0,26,11,11,20.5,12.5,14,58,40,13,17,12,0,12,92,"69266,69383"
CRS3035RES200mN2529200E3923800,0,CRS3035RES1000mN2529000E3923000,0,CRS3035RES1000mN2529000E3923000,595627,152.5,22,1,22,9,3591068.9,5069,67,5,5,0,0,67,0,14,19,1.5,5.5,8.5,21,59,20,6,12,0,0,13,72,"69266,69383"
CRS3035RES200mN2529400E3914000,1,CRS3035RES1000mN2529000E3914000,0,CRS3035RES1000mN2529000E3914000,595279,31,3.9,2.3,7,1.6,958326.2,1275.7,3.9,7.7,3.1,0.8,1.5,6.2,0,0,0.8,0.8,3.1,3.1,2.3,4.6,7,2.3,3.9,3.1,0,0.8,11.6,"69089,69385"
CRS3035RES200mN2529400E3914200,0,CRS3035RES1000mN2529000E3914000,0,CRS3035RES1000mN2529000E3914000,595286,84,7,3,26,1,3370975.7,4002,2,27,0,9,4,16,0,0,1,2,6,11.5,13.5,7,20,20,1,2,0,2,29,"69385,69089"
CRS3035RES200mN2529400E3914400,0,CRS3035RES1000mN2529000E3914000,0,CRS3035RES1000mN2529000E3914000,595288,104,10,4,33,4,4215379.4,5034,8,32,8,0,8,24,0,0,3,0,8,12,12,9,34,18,6,2,0,0,40,69385
CRS3035RES200mN2529400E3914600,0,CRS3035RES1000mN2529000E3914000,0,CRS3035RES1000mN2529000E3914000,595284,64,5,1,18,1,2085793.9,2830.8,1,23,2,3,1,17,1,0,4,3,6,4.5,3.5,12,11,8,11,1,0,0,24,69385
CRS3035RES200mN2529400E3914800,0,CRS3035RES1000mN2529000E3914000,0,CRS3035RES1000mN2529000E3914000,595297,376,60,14,128,19,9968000.1,12604,140,24,11,141,8,4,0,3,18,9.5,33,28.5,26,65,85,39,43,28,1,12,164,69385
CRS3035RES200mN2529400E3915000,0,CRS3035RES1000mN2529000E3915000,0,CRS3035RES1000mN2529000E3915000,595319,293.5,62,8,85,17,6631665.7,9866,137,4,2,83,29,27,0,6,12,10,14,23,26.5,71,63,25,31,14,4,13,141,69385
CRS3035RES200mN2529400E3915200,0,CRS3035RES1000mN2529000E3915000,0,CRS3035RES1000mN2529000E3915000,595312,250,36,11,12,17,5420109.5,7017,95,4,2,48,1,48,0,63,22.5,9,25,33.5,12,56,51,19,19,3,0,16,99,69385
CRS3035RES200mN2529400E3915400,0,CRS3035RES1000mN2529000E3915000,0,CRS3035RES1000mN2529000E3915000,595305,87,10,2,11,9,2362655.2,2614,31,5,5,0,0,31,0,6,3,2,9.5,12,6.5,14,28,9,2,1,0,6,36,69385
CRS3035RES200mN2529400E3915600,0,CRS3035RES1000mN2529000E3915000,0,CRS3035RES1000mN2529000E3915000,595310,169,29,3,54,11,4613474.3,7012,57,21,16,55,3,4,0,0,10.5,4,7.5,10.5,17.5,28,36,32,16,7,0,8,78,69385
CRS3035RES200mN2529400E3915800,0,CRS3035RES1000mN2529000E3915000,0,CRS3035RES1000mN2529000E3915000,595306,107.5,10,8,28,3,3978129.5,4040,17,20,28,5,3,1,0,0,6,4,9.5,17,5,16,21,13,11,5,0,5,37,"69385,69202"
CRS3035RES200mN2529400E3916000,0,CRS3035RES1000mN2529000E3916000,0,CRS3035RES200mN2529400E3916000,595398,394.5,73,8,82,40,8792823.7,13129,187,2,2,79,18,90,0,46,27,13.5,28.5,20.5,29,98,76,41,41,17,3,16,189,"69385,69202"
CRS3035RES200mN2529400E3916200,0,CRS3035RES1000mN2529000E3916000,0,CRS3035RES200mN2529400E3916200,595407,846,162,24,234,63,17794480.8,25275,393,4,1,289,55,52,0,22,39,23,58.5,81,56.5,201,177,87,97,25,1,52,397,"69202,69385"
CRS3035RES200mN2529400E3916400,0,CRS3035RES1000mN2529000E3916000,0,CRS3035RES200mN2529400E3916400,595384,120.5,11,5,41,3,4363416.2,5491,2,48,42,5,2,1,0,0,3,1,3,13.5,11,9,23,20,30,7,0,3,50,"69202,69385"
CRS3035RES200mN2529400E3916600,0,CRS3035RES1000mN2529000E3916000,0,CRS3035RES200mN2529400E3916600,595389,295,45,4,95,13,10361251.9,12357,108,25,16,36,2,79,0,0,14,7,9,25,26,39,68,47,42,18,0,3,133,"69385,69202"
CRS3035RES200mN2529400E3916800,0,CRS3035RES1000mN2529000E3916000,0,CRS3035RES200mN2529400E3916800,595393,345.5,73,10,120,15,9090374.1,12155,145,18,7,155,1,0,0,0,18,10,16.5,34,18,74,61,46,50,17,1,14,163,69385
CRS3035RES200mN2529400E3917000,0,CRS3035RES1000mN2529000E3917000,0,CRS3035RES1000mN2529000E3917000,595357,156,32,1,51,5,5406151.2,7268.5,69,13,0,9,72,1,0,0,4,1,6,8,9,25,30,18,42,13,0,3,82,69385
CRS3035RES200mN2529400E3917200,0,CRS3035RES1000mN2529000E3917000,0,CRS3035RES1000mN2529000E3917000,595351,91,14,2,34,6,3430839.2,4664,43,3,3,33,0,10,0,0,1,2,3,5,8,10,13,15,28,6,0,1,46,69385
CRS3035RES200mN2529400E3917400,0,CRS3035RES1000mN2529000E3917000,0,CRS3035RES1000mN2529000E3917000,595365,284.5,67,6,92,11,9795473.8,12655,128,17,37,0,108,0,0,0,10,3,16.5,16,22,56,39,41,53,26,2,10,145,69385
CRS3035RES200mN2529400E3917600,0,CRS3035RES1000mN2529000E3917000,0,CRS3035RES1000mN2529000E3917000,595348,57,15,1,15,2,1749744.4,3059,25,5,5,0,25,0,0,0,5,2,1,0,5,20,3,6,12,3,0,4,30,69385
CRS3035RES200mN2529400E3917800,0,CRS3035RES1000mN2529000E3917000,0,CRS3035RES1000mN2529000E3917000,595353,122,23,5,0,10,1891487,4009,53,0,0,0,53,0,0,53,4,3,13,15,5,22,30,16,13,0,1,12,53,"69385,69382"
CRS3035RES200mN2529400E3918000,0,CRS3035RES1000mN2529000E3918000,0,CRS3035RES1000mN2529000E3918000,595435,349,58,13,55,12,12070714.8,15200,149,0,103,9,19,18,0,0,14.5,6.5,17.5,26.5,46,84,60,40,34,20,0,14,149,"69382,69385"
CRS3035RES200mN2529400E3918200,0,CRS3035RES1000mN2529000E3918000,0,CRS3035RES1000mN2529000E3918000,595445,918,256,19,207,24,29508814.8,40318,485,0,348,18,72,47,0,4,35,21,40,55,93,247,162,85,108,71,1,51,485,69382
CRS3035RES200mN2529400E3918400,0,CRS3035RES1000mN2529000E3918000,0,CRS3035RES1000mN2529000E3918000,595447,1254.5,253,42,260,46,39757150.2,52504.6,587,1,582,6,0,0,0,0,55,22,64,97.5,142,271,230,125,164,84,0,53,588,69382
CRS3035RES200mN2529400E3918600,0,CRS3035RES1000mN2529000E3918000,0,CRS3035RES1000mN2529000E3918000,595448,1157.5,303,27,192,45,34091887.5,43540.2,599,2,595,0,0,6,0,37,60,26,55,66.5,117,356,216,98,122,41,0,97,601,69382
CRS3035RES200mN2529400E3918800,1,CRS3035RES1000mN2529000E3918000,0,CRS3035RES1000mN2529000E3918000,595427,29,3.1,2.4,6.3,0.8,883127.7,1319.9,11,0,11,0,0,0,0,0,0.8,0.8,1.6,3.1,4.7,3.9,5.5,3.1,3.9,1.6,0,1.6,11,"69382,69387"
CRS3035RES200mN2529400E3919000,0,CRS3035RES1000mN2529000E3919000,0,CRS3035RES200mN2529400E3919000,595470,39,8,1,12,0,1535167.4,2189,18,0,17,0,0,1,0,1,1,1,3,5,1,6,9,5,3,5,0,2,18,"69387,69382"
CRS3035RES200mN2529400E3919200,0,CRS3035RES1000mN2529000E3919000,0,CRS3035RES200mN2529400E3919200,595490,1086,405,16,182,35,28627656.9,41317.9,653,2,522,10,39,84,0,120,39,19,34,47,112,407,179,122,98,29,0,123,655,69387
CRS3035RES200mN2529400E3919400,0,CRS3035RES1000mN2529000E3919000,0,CRS3035RES200mN2529400E3919400,595489,1195,354,21,195,46,28301808.5,38863.8,648,2,400,31,5,214,0,140,81,29,53,44.5,111.5,497,191,81,81,17,9,124,650,69387
CRS3035RES200mN2529400E3919600,0,CRS3035RES1000mN2529000E3919000,0,CRS3035RES200mN2529400E3919600,595492,1402,416,33,185,64,31863515.9,47292.9,760,2,302,155,0,305,0,166,72.5,29.5,76,82,156,487,239,95,114,47,4,142,762,69387
CRS3035RES200mN2529400E3919800,0,CRS3035RES1000mN2529000E3919000,0,CRS3035RES200mN2529400E3919800,595482,986,285,15,274,26,31189967,41119,546,0,328,83,0,135,0,7,52.5,15,31.5,46,77,319,149,70,121,105,0,50,546,"69387,69383"
CRS3035RES200mN2529400E3920000,0,CRS3035RES1000mN2529000E3920000,0,CRS3035RES1000mN2529000E3920000,595580,1220,335,22,303,38,37568790.4,50794,665,0,216,26,240,183,0,30,51.5,25,49,61.5,90,373,181,112,174,103,0,68,665,"69383,69387"
CRS3035RES200mN2529400E3920200,0,CRS3035RES1000mN2529000E3920000,0,CRS3035RES1000mN2529000E3920000,595572,962,279,6,203,25,27395327.8,35700,535,1,195,45,81,215,0,19,47.5,18.5,37,45.5,75.5,347,169,71,97,53,1,51,536,69383
CRS3035RES200mN2529400E3920400,0,CRS3035RES1000mN2529000E3920000,0,CRS3035RES1000mN2529000E3920000,595583,1644.5,348,32,225,78,44292922.7,54436.7,797,0,210,0,59,527,1,120,116.5,48.5,96.5,97,133,585,312,111,102,41,2,94,797,69383
CRS3035RES200mN2529400E3920600,0,CRS3035RES1000mN2529000E3920000,0,CRS3035RES1000mN2529000E3920000,595575,1094,271,28,141,53,25279452.2,35484,558,1,54,136,29,340,0,147,72,31,65.5,66.5,94,379,195,85,70,36,0,104,559,69383
CRS3035RES200mN2529400E3920800,0,CRS3035RES1000mN2529000E3920000,0,CRS3035RES1000mN2529000E3920000,595563,71.5,16,1,16,5,1548194,2656,36,0,0,0,36,0,0,1,2,1,2,5.5,9,17,16,4,13,2,0,7,36,69383
CRS3035RES200mN2529400E3921000,1,CRS3035RES1000mN2529000E3921000,0,CRS3035RES1000mN2529000E3921000,595539,2,0.5,0.1,0.1,0.1,43143,60.7,1,0,0,0,0,1,0,0.6,0.1,0.1,0.1,0.2,0.2,0.7,0.4,0.1,0.1,0,0,0.1,1,69383
CRS3035RES200mN2529400E3921200,0,CRS3035RES1000mN2529000E3921000,0,CRS3035RES1000mN2529000E3921000,595552,1036,174,41,90,62,20251653.3,29139,440,2,33,48,14,347,0,227,57,31.5,87,95,89.5,270,220,99,66,16,5,101,442,69383
CRS3035RES200mN2529400E3921400,0,CRS3035RES1000mN2529000E3921000,0,CRS3035RES1000mN2529000E3921000,595560,1192,288,17,265,40,31904003.7,39990.3,612,5,193,8,91,325,0,4,72,26.5,59.5,56.5,108.5,449,212,79,93,35,1,64,617,69383
CRS3035RES200mN2529400E3921600,0,CRS3035RES1000mN2529000E3921000,0,CRS3035RES1000mN2529000E3921000,595547,764,158,13,194,33,19955576.5,27399,367,4,113,102,68,88,0,9,60,17,45,38,52,239,154,50,76,33,0,34,371,69383
CRS3035RES200mN2529400E3921800,0,CRS3035RES1000mN2529000E3921000,0,CRS3035RES1000mN2529000E3921000,595553,1133.5,179,42,98,83,24184067.8,32839,457,16,94,36,32,311,0,225,74,41,104,122,87.5,285,241,94,64,19,2,72,473,69383
CRS3035RES200mN2529400E3922000,0,CRS3035RES1000mN2529000E3922000,0,CRS3035RES200mN2529400E3922000,595665,736.5,196,17,200,30,19122921.1,27078.5,355,32,143,79,60,105,0,21,39,17.5,34,36,66,223,138,68,75,39,1,49,387,"69383,69266"
CRS3035RES200mN2529400E3922200,0,CRS3035RES1000mN2529000E3922000,0,CRS3035RES200mN2529400E3922200,595660,726,126,33,112,40,15845847.3,21872,298,16,84,21,70,139,0,137,40,16,66,68,64,173,151,86,43,19,0,59,314,"69383,69266"
CRS3035RES200mN2529400E3922400,0,CRS3035RES1000mN2529000E3922000,0,CRS3035RES200mN2529400E3922400,595668,943.5,177,25,198,58,22605319.9,29919,424,15,59,89,117,174,0,77,49.5,25,70.5,75,60.5,221,203,84,98,56,1,51,439,"69266,69383"
CRS3035RES200mN2529400E3922600,0,CRS3035RES1000mN2529000E3922000,0,CRS3035RES200mN2529400E3922600,595670,1230.5,270,23,198,67,28727532.1,36360.8,590,8,64,0,59,474,1,78,88,39.5,71.5,94.5,118,439,222,84,61,12,1,84,598,"69266,69383"
CRS3035RES200mN2529400E3922800,0,CRS3035RES1000mN2529000E3922000,0,CRS3035RES200mN2529400E3922800,595663,733.5,135,21,143,42,18346965.8,23959.3,330,10,38,0,33,268,1,71,51,26,41,57.5,52,220,148,64,54,20,0,31,340,"69266,69383"
CRS3035RES200mN2529600E3914000,0,CRS3035RES1000mN2529000E3914000,0,CRS3035RES1000mN2529000E3914000,595294,213,36,6,28,19,4236477.6,6224,90,1,0,3,0,88,0,57,16,11,19.5,21.5,12,40,60,11,21,1,0,23,91,"69385,69244,69089"
