Idcar_200m,I_est_200,Idcar_1km,I_est_1km,Idcar_nat,Groupe,Ind,Men_1ind,Men_5ind,Men_prop,Men_fmp,Ind_snv,Men_surf,Men_coll,Men_mais,Log_av45,Log_45_70,Log_70_90,Log_ap90,Log_inc,Log_soc,Ind_0_3,Ind_4_5,Ind_6_10,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_55_64,Ind_65_79,Ind_80p,Ind_inc,Men_pauv,Men,lcog_geo
CRS3035RES200mN2527200E3919000,0,CRS3035RES1000mN2527000E3919000,0,CRS3035RES1000mN2527000E3919000,593665,789,160,23,120,38,16913239.6,23448.9,358,11,58,0,206,105,0,25,72.5,27.5,50.5,43.5,87.5,291,126,38,46,5,1.5,63,369,69387
CRS3035RES200mN2527200E3919200,0,CRS3035RES1000mN2527000E3919000,0,CRS3035RES1000mN2527000E3919000,593658,94,36,2,25,2,2425523.5,3256,58,0,52,0,6,0,0,0,3,3,2,4,6,48,14,4,6,4,0,7,58,69387
CRS3035RES200mN2527400E3917000,1,CRS3035RES1000mN2527000E3917000,0,CRS3035RES1000mN2527000E3917000,593597,4,0.6,0.1,0.6,0.1,126878.8,177.9,1.5,0.2,0.2,0,0,1.5,0,0,0.3,0.1,0,0.3,0.4,1.4,0.8,0.4,0.2,0.1,0,0.1,1.7,"69142,69382"
CRS3035RES200mN2527400E3917800,0,CRS3035RES1000mN2527000E3917000,0,CRS3035RES1000mN2527000E3917000,593601,521.5,60,25,27,27,11077562.9,15328,202,0,0,58,144,0,0,58,36,13,54.5,51,40,131,105,37,39,14,1,30,202,69387
CRS3035RES200mN2527400E3918000,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593684,1098,130,67,47,73,19156141.1,31955,412,2,14,244,121,35,0,318,55,39.5,94.5,118,101,208,176,141,100,56,9,107,414,69387
CRS3035RES200mN2527400E3918200,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593688,1282,209,31,272,64,30960992,41425,580,5,14,146,264,161,0,112,76.5,32,76,92.5,85,359,227,138,144,50,2,61,585,69387
CRS3035RES200mN2527400E3918400,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593670,244,67,3,45,5,6160997.3,8335,128,3,3,32,25,71,0,0,17,2,7,13,23,91,49,26,10,6,0,14,131,69387
CRS3035RES200mN2527400E3918600,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593672,310.5,63,2,56,6,9150127.2,10146,155,2,14,0,0,143,0,1,24.5,9,13.5,5.5,25,158,46,12,12,5,0,10,157,69387
CRS3035RES200mN2527400E3918800,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593676,410.5,171,1,89,16,9140884.4,14994,255,8,83,62,96,22,0,5,12,4.5,16,10,48,147,64,40,49,20,0,46,263,69387
CRS3035RES200mN2527400E3919000,0,CRS3035RES1000mN2527000E3919000,0,CRS3035RES1000mN2527000E3919000,593664,558,165,13,91,30,12000009.2,18376,303,5,77,22,52,157,0,71,28,17.5,33.5,26.5,56.5,189,77,53,59,17,1,51,308,69387
CRS3035RES200mN2527400E3919200,0,CRS3035RES1000mN2527000E3919000,0,CRS3035RES1000mN2527000E3919000,593661,342.5,94,9,43,21,7157231.8,9642,182,0,48,0,0,134,0,38,23.5,9.5,21.5,23,32,151,47,19,10,6,0,32,182,69387
CRS3035RES200mN2527600E3917000,1,CRS3035RES1000mN2527000E3917000,0,CRS3035RES1000mN2527000E3917000,593597,44.5,6.2,1.5,7,0.8,1411526.7,1978.9,17,2.3,2.3,0,0,17,0,0,3.1,1.6,0,2.7,4.6,15.5,9.3,4.6,2.3,0.8,0,0.8,19.3,"69142,69382"
CRS3035RES200mN2527600E3917800,0,CRS3035RES1000mN2527000E3917000,0,CRS3035RES1000mN2527000E3917000,593598,103,22,1,8,7,2784100.7,3323,54,0,0,0,3,51,0,0,6,0.5,5.5,3,13,40,26,6,3,0,0,6,54,"69387,69382"
CRS3035RES200mN2527600E3918000,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593677,667.5,89,15,174,20,18512570.1,23778,289,0,0,0,136,153,0,58,40.5,17,32,38,48,169,129,85,95,13,1,10,289,69387
CRS3035RES200mN2527600E3918200,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593678,579,135,5,170,37,14471534.4,20939,302,0,0,28,195,79,0,69,29,12.5,25,38.5,31.5,140.5,101,76,86,39,0,35,302,69387
